STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090101 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090101 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090201 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090201 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090301 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090301 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090301 12:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090301 13:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090401 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090401 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090401 08:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090401 09:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090501 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090501 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090501 06:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090501 07:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090601 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090601 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090701 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090701 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090701 06:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090701 08:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090731 16:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090731 17:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090801 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090801 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090801 02:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090901 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20090901 02:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20091001 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20091001 20:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20091001 21:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20091101 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20091101 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20091101 08:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20091101 10:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20091201 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20091201 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20091201 06:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20091201 07:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100101 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100101 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100201 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100201 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100201 07:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100201 08:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100301 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100301 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100301 09:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100301 10:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100331 14:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100331 15:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100401 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100401 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100401 09:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100401 10:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100501 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100501 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100502 10:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100502 11:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100531 13:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100531 14:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100601 00:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100601 01:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100601 17:00,999.99
COOP:042239,CUYAMACA CA US,1414.3,32.98972,-116.58722,20100601 18:00,999.99
